model,split,accuracy,balanced_accuracy,macro_f1,weighted_f1
most_frequent_dummy,validation,0.2959443916587488,0.015151515151515152,0.0069200591677921405,0.13516487824321632
most_frequent_dummy,test,0.2959443916587488,0.015873015873015872,0.007249585794829862,0.13516487824321632
sgd_logistic_baseline,validation,0.29079361904285644,0.24615776602322245,0.13622628850152982,0.28838580598279273
sgd_logistic_baseline,test,0.287993198979847,0.22019359487344162,0.1258405236773218,0.2856198974103863
