feature,f_score,p_value
B05_mean,40.25461390398998,0.0
B01_month_12_mean,40.032863242568496,0.0
B06_month_09_mean,39.99412470298713,0.0
B8A_mean,39.80989753528087,0.0
nbr_mean,39.6827142364728,0.0
B05_month_09_mean,39.665801337726606,0.0
B05_month_03_mean,39.56009206597368,0.0
zero_share,39.43821125654074,0.0
B07_mean,38.712802296974125,0.0
B8A_month_04_mean,38.646706616705124,0.0
B12_q75,38.4324937190158,0.0
B04_month_10_mean,38.34776840347613,0.0
B02_month_09_mean,38.194400947406514,0.0
B11_month_01_mean,38.06770127391106,0.0
B06_mean,37.90558371900678,0.0
B03_month_10_mean,37.70420771510641,0.0
B09_month_11_mean,37.48659492534593,0.0
B10_q25,36.48139051018506,0.0
B05_month_05_mean,36.36118744884921,0.0
B10_month_09_mean,35.87044133766424,0.0
B02_month_10_mean,35.35556840281488,0.0
B01_month_03_mean,34.86435377437381,0.0
B01_month_01_mean,34.827895825446475,0.0
B01_min,34.72739957939201,0.0
B8A_month_05_mean,34.68581981099576,0.0
B03_iqr,34.675358467601015,0.0
B09_std,34.60106973221258,0.0
B06_min,34.10650325518693,0.0
B10_mean,33.66352438873103,0.0
B10_month_05_mean,33.556525024570824,0.0
B09_month_01_mean,33.1821119487599,0.0
B02_mean,33.02889945435737,0.0
B10_median,32.96971101779514,0.0
B01_q25,32.91420053798156,0.0
B01_std,32.48211284306575,0.0
B03_std,32.44580397650808,0.0
B05_month_01_mean,32.16315491993668,0.0
B07_month_05_mean,32.09641081014305,0.0
B08_min,31.809421680588553,0.0
B10_iqr,31.47920534498097,0.0
B10_std,31.456057791285755,0.0
B10_q75,31.364946256590326,0.0
B01_mean,31.123925962884798,0.0
B09_mean,30.992009286789102,0.0
B09_month_06_mean,30.98992214705346,0.0
B09_month_03_mean,30.895291238704154,0.0
B09_q25,30.81576171411966,0.0
B02_iqr,30.765288441951792,0.0
B06_month_05_mean,30.71218832393486,0.0
B07_min,30.642083945662066,0.0
B01_median,30.6384891020776,0.0
B06_month_12_mean,30.563064953997905,0.0
B01_max,30.426206302729828,0.0
B01_month_05_mean,30.242933138842165,0.0
B8A_month_10_mean,30.184554097750254,0.0
B09_max,30.12953831411884,0.0
B09_min,30.11677466989118,0.0
B01_range,29.88406951306591,0.0
B09_range,29.79287941940056,0.0
B09_month_02_mean,29.789604767195666,0.0
B10_month_01_mean,29.33778448387005,0.0
B10_month_11_mean,29.276737745193174,0.0
B09_median,29.2694588057989,0.0
B12_iqr,29.202139601109213,0.0
B09_month_05_mean,29.118668739724484,0.0
B07_month_10_mean,29.02935944144938,0.0
B01_q75,28.90055716121497,0.0
B09_q75,28.658671594222977,0.0
B09_iqr,28.30208747291369,0.0
B06_month_10_mean,28.124954273686406,0.0
B09_month_09_mean,28.01175872184247,0.0
B01_month_10_mean,27.859476020116237,0.0
B8A_min,27.828684842797195,0.0
B07_month_12_mean,27.766150438347875,0.0
B01_iqr,27.744840956581296,0.0
B03_month_05_mean,27.701981723174292,0.0
B09_month_08_mean,27.360661866571103,2e-323
B01_month_08_mean,27.1042902125381,4.748e-320
B05_iqr,27.02178826881933,5.85196e-319
B02_std,27.01236780668895,7.79566e-319
B01_month_09_mean,26.525323090032526,2.141456151256e-312
B01_month_07_mean,26.520471315847274,2.48224866677e-312
B06_month_01_mean,26.229910756609655,1.720196102001723e-308
B8A_month_12_mean,26.223906916237578,2.065067346872447e-308
B09_month_07_mean,25.83359718996523,2.974792430808214e-303
